14-3,12-2,24-1,23-2,13-1,05-4,20-2,18-1,08-4,23-3,18-3,15-3,20-2,01-4
19-4,06-1,15-4,26-2,26-5,19-4,C5,22-3,26-2,32-5,07-3,32-4,14-2,21-4
21-3,13-2,33-1,24-5,31-5,12-3,31-1,08-4,06-5,03-2,05-2,24-5,34-3,28-4
05-4,27-4,30-4,27-3,11-4,13-2,22-1,06-3,26-5,22-5,07-3,13-4,13-3,05-3
23-4,17-4,04-5,07-1,04-1,18-2,10-1,06-4,03-1,12-2,28-5,27-1,32-4,17-4
02-5,32-3,16-1,17-3,C1,08-3,18-1,14-4,29-4,30-2,02-3,03-5,28-4,13-5
01-4,02-3,17-5,13-5,20-3,11-4,09-3,07-4,19-1,17-2,01-5,23-2,14-3,09-5
30-5,09-2,15-1,25-1,23-3,C1,34-1,28-3,25-1,13-4,20-1,22-2,15-3,31-3
21-1,08-1,24-4,19-3,08-2,24-2,33-2,06-2,16-5,23-1,25-3,24-1,08-2,29-2
29-4,31-4,24-5,27-5,33-2,10-5,06-1,34-4,13-1,10-1,15-2,13-4,25-3,30-1
27-3,05-1,32-3,32-5,02-1,33-5,21-5,34-3,07-2,24-3,09-4,02-3,05-2,02-2
20-1,04-5,11-3,C4,10-1,14-5,08-2,22-4,32-2,C1,21-1,20-2,29-3,22-5
24-4,28-1,15-5,21-4,04-4,10-4,21-2,20-4,07-5,12-4,16-3,13-5,03-3,22-3
12-3,08-1,06-4,29-1,33-1,01-1,15-1,34-2,31-5,13-1,C2,C2,30-3,16-1
11-5,18-1,26-5,22-2,31-4,12-4,04-3,C4,32-2,03-4,23-4,04-2,33-3,03-5
09-2,03-5,27-1,11-4,03-4,20-1,04-3,25-5,01-1,23-3,33-5,08-5,C1,16-2
21-3,15-4,19-5,C4,09-1,08-3,19-1,12-5,19-3,25-2,31-3,16-2,03-1,24-2
01-2,30-4,17-2,16-4,10-2,22-1,27-4,33-4,10-3,15-5,33-4,02-1,19-2,29-1
03-1,C3,31-5,12-5,18-4,28-3,C4,31-2,22-4,34-4,06-2,11-2,31-2,14-2
01-2,05-1,12-5,31-4,C3,17-1,04-1,27-5,18-2,34-2,18-4,20-4,34-5,26-2
21-3,20-5,13-3,20-3,18-4,02-4,30-3,09-4,14-2,06-2,04-2,08-5,16-3,19-3
11-5,23-1,28-2,17-4,26-3,25-1,12-3,23-1,C5,23-5,32-1,28-1,11-1,09-5
25-5,03-2,03-2,33-5,24-4,C2,04-4,06-5,08-5,10-5,32-1,09-2,21-4,17-5
06-4,11-2,31-2,29-5,24-1,21-5,14-4,12-4,06-5,25-4,13-2,01-1,17-3,29-2
09-5,16-4,11-1,15-1,18-2,03-4,04-5,10-2,27-1,18-3,07-5,05-1,14-1,33-3
27-2,C1,21-2,27-4,15-3,34-2,02-5,06-1,12-1,17-3,09-3,26-4,10-4,16-3
02-1,24-3,26-3,30-1,27-3,05-5,C1,23-2,19-1,29-4,01-3,18-5,21-5,16-5
28-2,33-2,07-3,29-5,01-4,03-3,27-2,22-5,32-2,30-2,31-1,14-1,15-4,21-2
19-5,14-1,32-3,02-4,22-2,04-3,34-1,05-5,29-3,31-1,20-5,C3,C3,07-4
30-5,12-1,19-5,05-3,31-3,11-2,29-1,23-5,29-5,01-5,09-3,22-1,14-5,13-3
06-3,06-3,30-3,25-4,10-5,28-3,02-2,30-2,19-2,07-2,34-5,24-3,26-3,22-3
01-3,16-2,25-5,15-5,27-5,11-3,16-5,09-4,32-4,09-1,08-3,25-2,33-4,16-1
11-1,12-2,25-3,07-5,26-1,26-1,14-3,03-3,20-5,29-2,23-4,10-2,17-2,C5
10-4,26-4,07-1,09-1,26-4,19-4,02-5,01-3,07-4,14-5,05-2,16-4,28-5,27-2
07-1,17-1,17-1,18-3,33-1,20-4,23-5,05-4,02-4,08-4,25-2,28-5,11-5,24-2
19-2,34-3,28-4,28-1,04-1,01-2,10-3,34-1,33-3,26-1,04-4,30-5,18-5,17-5
01-5,14-4,05-5,C5,32-5,21-1,29-3,30-4,04-2,25-4,02-2,C2,15-2,18-5
28-2,08-1,34-4,12-1,11-3,34-5,10-3,20-3,32-1,30-1,05-3,22-4,15-2,07-2
