20-5,08-3,33-4,17-2,22-2,26-2,22-1,07-5,12-3,28-3,30-2,31-3,C2,01-4
31-1,34-2,C2,29-3,24-5,32-2,C1,02-4,21-1,29-3,30-4,28-2,19-5,10-5
05-2,08-1,C1,24-2,17-2,29-4,29-3,04-2,17-4,20-4,16-5,19-5,09-2,23-4
20-5,19-2,02-2,23-2,12-3,04-1,03-1,17-2,02-5,28-3,02-4,30-1,07-1,14-1
08-5,11-4,26-4,03-2,05-2,01-2,34-3,10-1,16-4,09-4,25-4,33-1,03-4,30-3
20-3,31-1,25-2,C5,11-5,26-4,30-5,02-1,02-1,19-4,02-1,33-5,07-1,02-3
07-4,15-3,04-5,29-5,28-2,05-3,08-2,30-5,02-2,24-4,26-4,27-5,34-5,12-5
34-1,09-2,28-1,34-3,32-4,06-4,11-5,09-4,19-3,24-5,29-2,23-4,32-4,30-4
34-3,10-1,25-5,18-3,28-1,33-3,03-3,23-5,02-5,10-4,34-5,31-4,01-5,06-2
16-5,29-2,10-4,14-5,06-1,04-3,27-3,22-5,32-3,17-3,13-5,17-4,23-5,04-4
15-3,09-5,14-2,21-4,08-2,07-1,15-4,29-5,06-3,31-1,24-3,18-5,07-2,08-1
28-4,06-2,18-2,11-1,20-1,33-4,31-5,30-1,18-4,16-3,23-4,27-5,04-1,23-3
18-1,33-4,13-1,24-4,33-1,08-1,11-2,27-2,06-3,06-5,15-2,32-1,09-3,12-5
27-1,08-4,20-4,09-1,20-1,12-4,23-2,20-3,22-2,04-1,08-3,14-5,C1,22-3
C3,21-2,17-5,11-4,25-3,06-5,11-5,20-4,04-4,14-4,18-4,15-2,18-5,13-4
05-1,26-3,04-5,32-3,34-2,27-3,10-3,23-1,33-5,C5,28-3,21-1,14-3,15-4
16-3,C4,03-5,05-1,01-1,32-4,09-2,33-2,29-5,C5,17-5,16-2,22-2,25-2
05-3,14-4,12-1,17-1,11-4,19-3,C4,08-3,09-3,34-2,05-4,13-2,26-3,26-5
15-1,09-1,13-3,04-2,28-5,20-3,01-3,12-3,04-3,13-1,31-4,06-5,C1,34-1
19-5,25-4,17-1,33-3,14-2,17-1,24-5,31-2,16-4,19-4,09-5,12-4,03-1,11-1
31-5,19-1,25-4,32-5,33-5,03-3,04-3,01-4,24-1,30-3,33-1,09-5,01-5,13-5
18-3,28-2,15-2,16-4,15-5,10-3,27-3,24-1,22-4,14-2,19-1,10-5,14-5,03-2
21-3,32-2,07-3,10-2,08-5,30-2,34-4,18-1,27-5,16-1,22-4,C4,18-2,24-2
18-4,02-3,14-3,03-5,05-5,08-4,13-3,15-1,26-1,16-2,14-4,C1,06-4,31-5
31-3,24-3,15-3,C1,33-2,25-5,12-2,21-5,02-4,26-2,32-3,34-4,28-4,06-1
03-5,24-3,24-2,27-4,11-2,21-3,34-1,05-4,18-3,21-5,07-3,22-5,01-1,25-5
22-3,C3,26-1,28-5,10-3,07-3,23-5,01-2,27-2,26-2,17-3,09-4,11-1,06-3
31-3,01-1,17-3,12-1,04-2,07-5,18-5,19-1,08-2,06-4,31-4,25-1,12-1,10-1
20-1,19-2,05-3,14-1,12-2,25-3,C5,32-2,29-4,26-3,27-4,01-5,10-5,20-2
25-1,29-4,23-1,12-2,05-5,05-5,18-1,07-4,19-2,24-1,18-2,02-2,20-2,27-1
06-1,30-1,28-5,23-2,12-5,10-2,26-5,23-1,09-1,06-2,23-3,04-5,29-1,C2
27-2,14-1,C4,22-3,22-5,22-1,01-2,01-3,32-5,32-5,33-3,21-2,32-1,13-4
30-3,03-4,03-4,24-4,13-2,26-5,05-1,13-5,30-4,16-3,21-5,11-3,05-2,21-4
16-2,21-2,31-2,05-4,34-4,07-2,30-5,07-2,21-1,09-3,25-2,30-2,13-1,33-2
21-3,16-1,21-4,11-3,19-4,07-4,01-3,03-2,C3,20-2,28-4,32-1,C2,15-5
15-5,20-5,16-5,02-3,22-4,29-1,26-1,02-5,22-1,03-1,10-2,23-3,07-5,13-3
03-3,13-4,04-4,29-1,25-3,13-2,01-4,12-4,15-1,16-1,C3,27-1,14-3,17-5
08-5,34-5,27-4,15-4,11-3,25-1,10-4,31-2,19-3,11-2,29-2,17-4,28-1,08-4
