33-2,32-4,27-1,12-3,15-5,33-3,28-2,06-1,18-3,30-2,12-2,31-5,33-2,22-5
24-1,23-4,18-4,01-4,32-1,13-2,06-2,16-5,09-2,30-2,08-1,33-4,11-1,21-2
22-3,21-4,09-5,27-4,34-2,30-1,21-5,08-1,32-4,20-5,20-5,13-5,21-3,14-1
C1,32-5,15-4,34-5,03-2,10-5,09-1,28-4,21-2,02-3,17-2,04-2,05-2,12-1
03-1,19-4,14-3,25-3,C2,02-1,06-5,06-1,16-5,09-2,01-5,11-3,10-1,12-5
C3,16-5,32-2,23-2,09-5,17-3,28-4,04-3,32-2,07-4,15-1,21-1,04-4,34-5
03-2,19-2,C1,06-4,34-4,25-1,34-4,07-2,10-3,C2,25-5,07-5,23-5,09-1
26-2,18-5,20-3,26-3,33-2,06-2,10-4,05-1,01-3,26-2,12-1,21-3,20-1,29-5
31-5,03-3,13-4,C5,13-1,34-1,30-2,05-5,04-4,24-1,30-1,06-5,26-5,32-3
14-1,13-2,34-1,14-5,03-2,26-3,17-1,15-1,C3,07-4,20-5,33-5,22-1,31-3
20-2,22-2,05-3,25-2,17-3,29-1,08-2,28-1,10-2,01-4,04-1,20-2,25-3,13-3
14-4,29-2,C5,22-3,17-4,31-1,07-5,03-5,24-4,23-3,22-5,10-2,33-5,14-5
C4,04-5,16-2,30-4,07-2,25-2,01-2,30-4,30-3,25-3,29-5,19-5,22-5,32-4
04-5,C1,26-5,06-5,29-1,32-3,18-2,01-1,28-3,C4,26-4,19-5,15-5,11-4
11-5,15-1,16-1,10-1,28-2,17-5,24-5,24-3,03-1,11-5,16-2,34-4,15-3,14-2
07-3,24-3,17-1,26-4,23-1,28-5,19-1,20-3,28-1,12-2,12-3,11-3,28-3,15-5
17-5,07-3,06-3,07-1,31-1,01-4,23-1,21-3,18-4,03-5,27-3,19-4,07-1,12-3
05-2,33-4,30-5,19-2,12-2,05-4,16-2,29-3,05-3,24-2,09-4,11-2,C5,25-4
C4,08-4,03-1,16-4,06-4,24-2,01-2,02-2,10-1,23-3,34-3,24-5,10-4,18-2
31-2,12-4,08-3,29-3,22-4,27-5,11-2,C2,14-5,02-2,34-2,33-1,09-4,20-2
28-3,30-5,03-3,C1,06-2,16-3,34-2,15-4,05-1,28-2,04-3,03-4,13-3,C3
14-1,02-1,03-3,20-4,27-2,33-4,19-3,01-2,07-5,02-3,23-1,31-4,11-4,05-5
30-3,31-5,21-1,25-2,27-2,25-5,02-3,19-5,21-5,34-1,04-3,08-3,08-5,29-4
09-3,05-3,09-4,32-2,27-3,04-1,28-4,26-1,15-4,06-3,02-4,09-5,02-5,25-4
17-2,14-3,03-4,08-4,27-4,29-4,30-5,27-2,17-3,10-4,34-5,17-2,03-5,18-3
03-4,10-2,29-1,33-5,23-5,13-4,12-1,14-3,24-1,13-5,27-5,27-1,16-1,02-5
26-4,19-4,15-2,26-5,25-5,02-2,22-2,22-1,31-3,20-1,21-1,10-3,C1,11-4
28-5,C2,11-1,25-4,09-3,01-5,18-4,19-1,12-5,30-4,27-4,13-3,23-4,32-5
34-3,10-3,18-5,05-5,15-2,16-3,17-4,32-3,16-4,09-3,29-2,22-3,29-4,01-5
07-2,29-3,16-1,12-4,05-2,11-5,10-5,13-1,26-2,13-5,31-4,01-1,02-5,13-2
04-4,17-5,02-1,01-1,05-4,15-2,29-2,07-3,24-3,33-3,C3,20-4,21-2,22-1
20-3,04-1,02-4,C5,27-1,24-4,27-5,19-1,16-4,04-2,21-4,07-1,13-1,22-4
29-5,34-3,15-3,14-2,08-5,25-1,21-5,20-4,19-2,23-3,C4,19-3,18-1,09-1
08-3,08-2,27-3,15-3,19-3,11-2,26-1,18-3,33-1,26-1,32-5,18-2,12-5,01-3
05-1,18-1,24-2,23-2,23-2,30-1,11-3,31-4,01-3,30-3,04-2,33-1,31-1,17-1
24-5,07-4,14-2,14-4,C1,11-1,20-1,16-3,21-4,26-3,13-4,02-4,08-1,10-5
06-4,09-2,05-4,06-3,31-2,31-2,28-5,18-1,32-1,23-4,28-1,18-5,04-5,08-2
22-2,17-4,23-5,08-4,12-4,25-1,06-1,32-1,31-3,22-4,33-3,08-5,24-4,14-4
