13-2,08-5,28-5,34-5,31-5,07-2,33-4,06-2,23-3,20-4,11-3,33-5,26-3,15-4
05-4,23-2,27-4,30-4,28-3,26-5,14-2,C5,34-2,34-4,07-2,32-5,05-1,31-2
14-1,17-1,04-3,09-4,07-1,32-4,06-5,26-5,28-1,32-2,C1,10-3,21-2,14-3
33-3,12-4,19-2,03-1,27-3,31-3,29-2,C5,09-5,C5,20-5,07-5,25-3,09-3
33-2,13-4,18-5,03-3,10-1,33-1,30-2,20-5,16-3,22-2,21-2,01-4,08-3,04-4
07-5,33-4,02-4,12-5,21-4,C1,14-5,29-2,06-1,18-1,29-4,25-5,17-3,24-2
09-2,34-1,29-5,26-4,33-1,02-4,30-1,05-3,12-2,16-4,17-1,15-2,26-4,25-1
11-1,29-4,25-1,18-2,06-3,16-4,22-4,31-5,34-2,07-3,21-1,04-4,13-1,26-2
13-5,02-2,14-4,22-4,06-5,04-1,25-5,32-3,23-1,33-5,04-5,06-2,25-3,06-4
12-2,18-1,17-3,04-2,21-1,28-2,C1,05-5,03-4,08-3,03-5,21-2,09-1,10-4
17-4,13-1,14-2,28-5,06-3,29-3,29-5,02-2,30-1,24-5,25-2,12-1,14-5,27-5
04-5,11-5,04-2,11-3,26-1,05-4,15-2,32-4,C5,C2,24-5,03-2,25-1,03-5
23-1,23-5,15-2,03-3,29-1,27-5,23-3,28-5,12-3,34-1,16-1,33-3,17-4,12-5
18-4,24-5,25-4,31-5,21-3,10-4,C3,22-2,03-4,28-4,32-1,15-4,28-1,17-3
23-4,08-2,01-1,33-2,25-3,30-2,34-3,12-5,08-1,29-3,02-5,16-1,23-5,34-3
02-5,22-3,05-2,01-1,02-2,10-1,14-4,17-5,18-4,32-4,26-3,11-4,13-4,C3
15-1,08-4,07-3,31-1,01-5,19-4,34-1,C3,09-2,04-3,29-3,15-1,04-1,16-5
15-3,02-1,22-3,01-5,01-3,31-1,32-2,12-1,20-4,21-4,03-2,16-5,13-5,17-5
32-2,27-1,13-3,16-3,19-5,07-1,13-2,24-3,10-5,05-3,13-3,23-2,13-3,10-5
31-2,03-4,25-2,17-4,10-3,20-2,05-2,32-1,27-2,C4,24-4,34-4,26-5,05-4
22-3,10-2,07-5,18-2,11-5,09-3,21-3,23-4,15-3,26-4,07-2,30-2,11-2,08-1
27-4,14-5,16-2,34-4,02-3,33-5,21-4,C4,21-3,19-4,07-1,14-3,32-3,20-5
09-3,27-2,05-5,30-3,07-4,01-4,11-1,31-1,01-5,C1,14-4,17-2,30-4,11-5
16-1,02-4,23-5,22-1,27-3,10-4,01-2,27-3,27-1,10-2,26-3,06-3,08-3,28-2
31-4,22-1,33-4,25-4,01-1,24-3,24-4,14-2,20-3,24-1,12-1,04-5,30-5,24-2
04-1,21-5,18-3,19-4,19-3,26-1,13-4,18-5,10-3,30-1,11-3,17-5,07-4,34-2
23-1,31-2,24-3,23-2,04-3,30-5,02-3,22-5,29-1,03-1,27-2,16-4,02-1,34-3
27-1,10-2,33-2,22-4,C1,27-5,25-5,28-3,23-4,C2,23-3,08-4,18-3,03-5
20-1,03-3,08-5,17-2,11-2,22-5,C3,26-1,32-5,08-2,19-1,12-4,06-2,18-5
18-3,08-5,08-1,08-4,30-5,32-1,C1,11-4,10-1,21-1,30-3,32-5,16-2,29-5
17-1,08-2,28-2,C4,02-5,20-4,04-2,10-5,13-1,28-4,05-3,30-4,20-2,19-3
27-4,06-5,C2,31-3,09-4,12-2,30-3,20-1,20-3,15-5,06-4,20-2,12-3,04-4
14-3,13-5,14-1,11-2,14-1,24-2,29-1,05-5,02-3,19-5,12-3,31-4,12-4,24-1
24-1,07-3,09-1,21-5,07-4,22-5,19-5,25-4,05-2,09-5,03-2,05-1,15-5,09-5
24-4,26-2,02-1,28-1,15-3,06-1,25-2,15-4,22-1,34-5,18-1,31-4,06-4,03-1
19-1,19-2,26-2,01-2,28-3,31-3,13-2,11-4,19-1,19-3,28-4,C2,01-2,19-2
20-1,01-3,21-5,15-1,09-4,22-2,16-5,09-2,29-2,29-4,20-3,33-3,15-5,05-1
06-1,09-1,C4,34-5,01-3,16-3,17-2,16-2,33-1,32-3,18-4,11-1,18-2,01-4
