08-3,30-3,22-3,08-1,15-5,12-3,01-1,C5,21-1,32-4,14-5,25-5,16-1,11-3
30-2,05-3,25-2,22-5,11-1,26-5,24-5,17-2,28-2,07-3,19-4,12-1,15-4,27-3
C1,C1,18-4,08-5,18-2,24-3,21-3,28-4,19-1,21-2,29-2,24-5,15-3,31-1
33-1,08-4,C2,28-3,10-3,27-3,09-4,17-1,09-3,15-4,06-5,11-5,14-1,30-3
19-2,03-2,26-4,23-3,22-4,05-5,24-5,32-3,10-3,18-4,19-5,33-2,28-5,33-3
33-5,13-5,13-3,29-4,21-5,33-3,05-5,23-1,04-3,24-1,21-3,14-2,19-2,14-2
09-2,16-2,34-5,11-5,07-1,25-3,02-5,12-5,31-5,03-4,08-1,34-1,17-3,23-5
C4,20-2,28-4,34-2,31-3,15-2,05-1,15-1,09-4,13-4,04-2,06-1,33-2,25-2
01-5,21-2,20-4,06-3,27-2,03-5,20-3,07-1,34-4,23-5,16-4,16-2,02-5,05-4
03-1,26-1,08-4,C1,27-4,05-5,16-3,33-4,20-1,29-3,19-1,17-5,01-4,25-1
13-1,13-5,11-2,25-1,27-4,28-1,07-3,12-1,27-1,29-1,17-2,06-2,28-2,28-3
16-1,17-1,03-2,10-5,21-4,20-4,09-1,20-3,34-3,30-2,03-4,10-2,11-2,17-2
18-2,02-5,25-3,C2,27-2,18-5,23-3,29-5,13-2,13-2,21-1,21-4,20-2,27-3
34-1,09-3,31-5,04-4,20-1,12-4,01-3,33-1,06-4,16-3,17-1,03-5,C3,12-1
16-2,02-2,01-1,33-5,23-2,06-5,34-1,24-4,18-3,06-3,26-4,05-4,02-1,21-1
28-4,23-4,C1,11-2,32-2,15-3,33-4,03-2,18-1,02-3,29-5,07-5,25-4,26-3
14-5,02-3,02-3,30-5,02-4,08-5,10-2,24-2,34-4,34-2,07-5,19-4,31-2,29-1
28-3,23-3,31-3,22-5,18-2,19-1,28-1,13-4,26-1,C4,07-4,09-4,12-5,10-1
13-5,29-1,31-3,10-4,22-1,06-4,20-3,29-3,08-5,C5,24-4,01-4,22-1,07-2
01-1,27-4,30-4,26-5,06-1,31-2,32-4,20-1,24-2,05-1,02-1,09-1,03-5,12-2
12-3,20-5,18-3,32-1,02-2,34-5,21-4,27-2,32-2,26-2,03-3,23-4,16-5,06-3
21-3,25-1,14-4,32-5,14-4,16-5,32-1,13-1,11-1,14-3,04-3,C5,07-4,09-5
26-1,06-5,12-4,19-5,07-2,25-5,28-2,16-4,11-5,27-1,09-5,01-2,30-5,C1
06-1,32-5,28-1,19-3,C3,13-3,12-3,17-3,27-5,33-5,04-1,22-3,05-2,26-2
09-1,26-4,31-1,32-4,31-2,26-2,22-2,14-1,31-4,01-2,29-2,18-5,18-3,29-4
04-1,33-2,24-3,05-2,11-4,30-2,30-3,25-2,25-4,14-5,32-3,22-3,08-1,14-4
01-2,22-4,10-1,31-5,15-5,17-4,17-3,34-3,31-4,15-2,16-1,09-2,15-5,29-3
13-4,08-3,20-2,C2,07-4,15-4,03-3,03-3,12-2,30-1,19-5,19-2,30-4,23-1
29-5,04-5,01-4,14-3,06-2,22-1,03-1,16-5,16-3,34-4,08-2,03-4,09-3,30-4
27-5,05-3,17-5,23-4,32-5,11-1,12-4,C1,02-4,C4,23-2,04-2,07-1,02-1
33-3,C3,30-5,12-2,09-5,08-2,10-5,17-5,14-2,05-2,23-2,04-2,34-5,01-3
28-5,26-5,27-1,04-4,05-3,18-1,10-3,19-3,22-5,18-5,09-2,15-1,25-5,17-4
15-1,11-4,20-5,01-5,31-1,32-2,04-3,13-1,21-2,18-1,01-5,27-5,C2,24-1
17-4,07-2,11-4,15-2,22-2,23-1,10-4,10-5,26-3,20-4,25-3,08-3,14-1,24-4
21-5,22-4,02-4,04-1,32-1,13-3,05-4,01-3,20-5,24-1,13-2,C4,25-4,04-5
08-4,02-2,16-4,34-3,31-4,34-2,29-2,30-1,08-2,04-5,06-4,07-3,19-3,28-5
04-4,11-3,33-1,33-4,07-5,18-4,32-3,14-3,24-3,C5,10-1,29-4,C3,19-4
15-3,10-2,24-2,06-2,26-3,23-5,21-5,11-3,12-5,05-1,22-2,30-1,10-4,03-1
