06-5,27-4,26-5,02-1,10-2,29-4,07-1,15-2,16-5,02-3,C4,22-5,13-2,09-2
19-5,18-1,24-1,23-4,C5,04-1,34-1,17-2,05-2,06-2,28-4,04-3,28-1,C2
23-3,14-4,10-4,C5,11-2,32-4,24-2,20-2,19-4,13-1,32-4,20-1,30-5,11-1
23-4,03-1,04-2,25-4,02-4,03-3,16-5,19-2,28-2,33-2,31-5,34-5,06-4,22-2
09-5,34-1,32-4,07-3,18-1,06-4,28-3,20-1,17-3,25-3,04-2,15-5,02-4,03-4
29-1,03-5,C3,05-4,18-3,01-4,18-2,15-3,C1,13-1,18-4,06-2,02-2,07-5
11-3,11-3,27-1,33-3,23-3,16-2,17-2,21-5,02-5,05-4,26-2,08-3,32-5,23-3
07-3,11-4,25-4,10-1,21-1,03-2,24-3,06-1,01-3,27-4,02-3,20-4,05-2,19-4
21-4,C2,24-4,11-4,22-1,21-2,09-3,09-4,02-5,31-5,22-5,C1,24-1,18-3
17-4,12-3,20-3,16-5,22-5,07-5,10-4,06-2,C3,33-3,24-5,15-1,03-4,08-5
23-1,05-3,34-2,15-5,03-5,03-5,C5,16-1,06-3,26-3,27-1,03-1,27-3,32-5
26-4,08-4,15-3,11-2,21-1,22-2,12-3,07-2,09-1,33-5,30-1,23-2,18-4,10-1
14-2,22-4,29-3,14-3,C4,28-4,20-5,08-1,19-3,19-1,09-4,03-2,29-2,26-2
30-4,05-3,13-1,16-4,29-5,20-3,34-4,06-1,C3,11-2,17-3,29-1,34-3,24-5
33-5,C5,16-1,27-1,23-5,05-4,C2,21-1,11-3,26-3,32-3,15-2,04-3,C4
24-4,32-2,08-3,25-4,30-3,20-1,23-1,31-1,06-5,10-2,14-4,07-4,12-3,32-5
26-4,08-2,09-2,17-4,29-2,32-1,17-1,21-4,21-5,33-2,13-4,10-2,30-3,23-4
28-2,01-2,15-4,32-2,12-4,08-4,21-2,01-1,15-1,22-3,34-2,34-3,13-5,31-3
22-2,34-4,13-4,12-4,12-5,27-5,03-3,05-3,17-1,30-2,14-1,09-5,06-1,17-5
20-5,25-5,16-4,04-2,01-3,14-5,09-1,28-5,01-4,12-1,02-4,22-1,17-1,15-4
05-1,08-4,05-2,07-5,20-4,07-4,26-5,28-3,02-5,05-1,19-3,21-2,13-3,13-5
16-2,31-2,01-3,30-1,18-1,14-1,31-1,33-5,29-5,15-3,08-5,02-1,28-1,03-3
12-2,27-2,21-3,25-2,32-3,27-3,33-4,02-2,26-3,27-2,27-3,12-4,29-4,33-2
19-5,25-5,24-2,24-3,C2,12-2,27-2,04-3,18-3,16-2,16-3,15-5,33-4,26-1
25-1,22-3,06-5,34-5,05-5,29-3,31-3,23-2,10-5,C1,24-1,24-4,25-5,05-5
30-4,19-2,30-3,32-1,11-5,29-4,28-1,14-2,29-5,26-2,01-5,23-1,31-4,07-3
14-1,29-3,01-2,09-5,11-4,19-3,18-2,01-4,29-2,31-4,02-1,02-3,14-3,13-5
08-2,33-1,19-1,09-4,04-4,20-2,26-1,34-1,31-2,16-1,28-4,33-4,23-5,14-4
09-3,15-2,01-1,25-3,16-3,19-2,17-3,13-2,27-4,30-5,22-3,21-4,25-2,08-3
02-2,33-1,29-1,C1,28-5,05-5,14-2,28-3,18-5,11-5,14-3,16-4,08-5,10-1
21-3,03-4,07-2,04-1,06-4,18-2,04-5,11-5,34-2,10-3,30-5,07-1,12-5,10-4
23-5,20-2,27-5,18-4,30-2,31-4,08-1,25-1,15-1,33-3,12-5,22-4,32-1,26-1
21-5,27-5,18-5,24-2,26-5,04-5,08-2,14-5,04-4,26-4,04-4,15-4,12-1,05-1
19-4,09-2,25-3,20-5,34-5,22-1,32-2,12-2,19-1,10-3,22-4,17-4,C3,25-1
10-3,17-5,09-1,16-3,23-2,28-2,14-5,09-3,06-3,31-3,C4,C1,01-1,31-5
11-1,21-3,28-5,12-1,13-3,03-2,13-4,07-2,24-5,01-5,32-3,17-2,19-5,07-4
31-2,30-1,13-2,31-1,06-3,11-1,01-2,34-4,17-5,03-1,13-3,30-4,07-1,33-1
04-5,20-3,30-2,10-5,08-1,18-5,34-3,20-4,24-3,04-1,10-5,01-5,25-2,C1
